timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203955645,0.804000,0.596000,0.156000,0.125000,7.172000,6.475000,2.343000,level_1_state_1
1765203956305,0.802000,0.596000,0.155000,0.125000,7.172000,6.475000,2.343000,level_1_state_1
1765203956709,0.803000,0.596000,0.156000,0.126000,7.063000,6.346000,2.302000,level_1_state_1
1765203956810,0.803000,0.595000,0.155000,0.125000,7.172000,6.475000,2.343000,level_1_state_1
1765203958835,0.804000,0.596000,0.154000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
1765203959290,0.803000,0.595000,0.154000,0.124000,7.282000,6.604000,2.383000,level_1_state_1
1765203959899,0.802000,0.595000,0.154000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
1765203960607,0.802000,0.595000,0.154000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
1765203960709,0.802000,0.595000,0.154000,0.124000,7.172000,6.475000,2.343000,level_1_state_1
1765203961315,0.802000,0.595000,0.154000,0.124000,7.063000,6.346000,2.302000,level_1_state_1
1765203961721,0.802000,0.595000,0.153000,0.124000,7.172000,6.475000,2.343000,level_1_state_1
1765203962530,0.803000,0.595000,0.153000,0.125000,7.282000,6.604000,2.383000,level_1_state_1
1765203963290,0.802000,0.594000,0.153000,0.124000,7.063000,6.346000,2.302000,level_1_state_1
1765203963340,0.802000,0.594000,0.153000,0.124000,7.282000,6.604000,2.383000,level_1_state_1
1765203964100,0.803000,0.595000,0.153000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
1765203964808,0.802000,0.594000,0.152000,0.125000,7.063000,6.346000,2.302000,level_1_state_1
1765203965517,0.802000,0.594000,0.152000,0.124000,7.063000,6.346000,2.302000,level_1_state_2
1765203965618,0.802000,0.595000,0.152000,0.124000,7.172000,6.475000,2.343000,level_1_state_2
1765203966327,0.802000,0.595000,0.152000,0.124000,6.954000,6.219000,2.262000,level_1_state_2
1765203967945,0.802000,0.595000,0.151000,0.125000,7.063000,6.346000,2.302000,level_1_state_2
1765203968046,0.802000,0.594000,0.152000,0.125000,7.282000,6.604000,2.383000,level_1_state_2
